   Altitude   |     Temperature      |     Pressure       |      Density
-------+------+-------+------+-------+---------+----------+----------+----------
  Z (m)| H (m)| T (K) | t (C)|T_M (K)| P (Pa)  |  P/P_0   rho (kg/m^3) rho/rho_0
-------+------+-------+------+-------+---------+----------+----------+----------
  35000  34808  236.51 -36.64  236.51 5.7459e+2 5.6708e-03 8.4634e-03 6.9089e-03
  35500  35303  237.90 -35.25  237.90 5.3510e+2 5.2810e-03 7.8357e-03 6.3965e-03
  36000  35797  239.28 -33.87  239.28 4.9852e+2 4.9200e-03 7.2579e-03 5.9248e-03
  36500  36292  240.67 -32.48  240.67 4.6464e+2 4.5857e-03 6.7258e-03 5.4904e-03
  37000  36786  242.05 -31.10  242.05 4.3325e+2 4.2758e-03 6.2355e-03 5.0902e-03
  37500  37280  243.43 -29.72  243.43 4.0414e+2 3.9885e-03 5.7835e-03 4.7212e-03
  38000  37774  244.82 -28.33  244.82 3.7714e+2 3.7221e-03 5.3666e-03 4.3809e-03
  38500  38268  246.20 -26.95  246.20 3.5208e+2 3.4748e-03 4.9819e-03 4.0668e-03
  39000  38762  247.58 -25.57  247.58 3.2882e+2 3.2452e-03 4.6267e-03 3.7769e-03
  39500  39256  248.97 -24.18  248.97 3.0722e+2 3.0320e-03 4.2987e-03 3.5092e-03

  40000  39750  250.35 -22.80  250.35 2.8714e+2 2.8339e-03 3.9957e-03 3.2618e-03
  40500  40244  251.73 -21.42  251.73 2.6848e+2 2.6497e-03 3.7155e-03 3.0331e-03
  41000  40737  253.11 -20.04  253.11 2.5113e+2 2.4785e-03 3.4564e-03 2.8216e-03
  41500  41231  254.50 -18.65  254.50 2.3499e+2 2.3192e-03 3.2167e-03 2.6259e-03
  42000  41724  255.88 -17.27  255.88 2.1997e+2 2.1709e-03 2.9948e-03 2.4447e-03
  42500  42218  257.26 -15.89  257.26 2.0598e+2 2.0329e-03 2.7893e-03 2.2770e-03
  43000  42711  258.64 -14.51  258.64 1.9295e+2 1.9043e-03 2.5989e-03 2.1215e-03
  43500  43204  260.02 -13.13  260.02 1.8081e+2 1.7845e-03 2.4224e-03 1.9775e-03
  44000  43698  261.40 -11.75  261.40 1.6950e+2 1.6728e-03 2.2589e-03 1.8440e-03
  44500  44191  262.78 -10.37  262.78 1.5894e+2 1.5687e-03 2.1071e-03 1.7201e-03

  45000  44684  264.16  -8.99  264.16 1.4910e+2 1.4715e-03 1.9663e-03 1.6051e-03
  45500  45177  265.54  -7.61  265.54 1.3992e+2 1.3809e-03 1.8356e-03 1.4984e-03
  46000  45670  266.92  -6.23  266.92 1.3134e+2 1.2962e-03 1.7141e-03 1.3993e-03
  46500  46162  268.30  -4.85  268.30 1.2333e+2 1.2172e-03 1.6014e-03 1.3072e-03
  47000  46655  269.68  -3.47  269.68 1.1585e+2 1.1434e-03 1.4965e-03 1.2217e-03
  47500  47148  270.65  -2.50  270.65 1.0886e+2 1.0743e-03 1.4012e-03 1.1438e-03
  48000  47640  270.65  -2.50  270.65 1.0230e+2 1.0096e-03 1.3167e-03 1.0749e-03
  48500  48133  270.65  -2.50  270.65 9.6130e+1 9.4873e-04 1.2373e-03 1.0101e-03
  49000  48625  270.65  -2.50  270.65 9.0337e+1 8.9155e-04 1.1628e-03 9.4920e-04
  49500  49118  270.65  -2.50  270.65 8.4894e+1 8.3783e-04 1.0927e-03 8.9201e-04

  50000  49610  270.65  -2.50  270.65 7.9779e+1 7.8736e-04 1.0269e-03 8.3827e-04
  50500  50102  270.65  -2.50  270.65 7.4973e+1 7.3993e-04 9.6502e-04 7.8777e-04
  51000  50594  270.65  -2.50  270.65 7.0458e+1 6.9537e-04 9.0690e-04 7.4033e-04
  51500  51086  270.41  -2.74  270.41 6.6215e+1 6.5349e-04 8.5305e-04 6.9636e-04
  52000  51578  269.03  -4.12  269.03 6.2215e+1 6.1401e-04 8.0562e-04 6.5765e-04
  52500  52070  267.65  -5.50  267.65 5.8438e+1 5.7674e-04 7.6061e-04 6.2090e-04
  53000  52562  266.28  -6.87  266.28 5.4874e+1 5.4156e-04 7.1791e-04 5.8605e-04
  53500  53053  264.90  -8.25  264.90 5.1510e+1 5.0837e-04 6.7741e-04 5.5299e-04
  54000  53545  263.52  -9.63  263.52 4.8338e+1 4.7706e-04 6.3900e-04 5.2164e-04
  54500  54037  262.15 -11.00  262.15 4.5346e+1 4.4753e-04 6.0260e-04 4.9192e-04

  55000  54528  260.77 -12.38  260.77 4.2525e+1 4.1969e-04 5.6810e-04 4.6375e-04
  55500  55020  259.40 -13.75  259.40 3.9867e+1 3.9345e-04 5.3541e-04 4.3707e-04
  56000  55511  258.02 -15.13  258.02 3.7362e+1 3.6874e-04 5.0445e-04 4.1180e-04
  56500  56002  256.64 -16.51  256.64 3.5003e+1 3.4545e-04 4.7513e-04 3.8786e-04
  57000  56493  255.27 -17.88  255.27 3.2782e+1 3.2353e-04 4.4738e-04 3.6521e-04
  57500  56985  253.89 -19.26  253.89 3.0691e+1 3.0290e-04 4.2111e-04 3.4377e-04
  58000  57476  252.52 -20.63  252.52 2.8724e+1 2.8348e-04 3.9626e-04 3.2348e-04
  58500  57967  251.14 -22.01  251.14 2.6873e+1 2.6521e-04 3.7276e-04 3.0429e-04
  59000  58457  249.77 -23.38  249.77 2.5132e+1 2.4804e-04 3.5054e-04 2.8615e-04
  59500  58948  248.39 -24.76  248.39 2.3496e+1 2.3189e-04 3.2953e-04 2.6900e-04

  60000  59439  247.02 -26.13  247.02 2.1959e+1 2.1672e-04 3.0968e-04 2.5280e-04
  60500  59930  245.65 -27.50  245.65 2.0514e+1 2.0246e-04 2.9092e-04 2.3749e-04
  61000  60420  244.27 -28.88  244.27 1.9158e+1 1.8907e-04 2.7321e-04 2.2303e-04
  61500  60911  242.90 -30.25  242.90 1.7884e+1 1.7650e-04 2.5649e-04 2.0938e-04
  62000  61401  241.53 -31.62  241.53 1.6689e+1 1.6470e-04 2.4071e-04 1.9650e-04
  62500  61891  240.15 -33.00  240.15 1.5567e+1 1.5364e-04 2.2582e-04 1.8434e-04
  63000  62382  238.78 -34.37  238.78 1.4516e+1 1.4326e-04 2.1178e-04 1.7288e-04
  63500  62872  237.41 -35.74  237.41 1.3530e+1 1.3353e-04 1.9853e-04 1.6207e-04
  64000  63362  236.04 -37.11  236.04 1.2606e+1 1.2441e-04 1.8605e-04 1.5188e-04
  64500  63852  234.66 -38.49  234.66 1.1740e+1 1.1587e-04 1.7429e-04 1.4228e-04

  65000  64342  233.29 -39.86  233.29 1.0930e+1 1.0787e-04 1.6321e-04 1.3323e-04
  65500  64832  231.92 -41.23  231.92 1.0171e+1 1.0038e-04 1.5278e-04 1.2472e-04
  66000  65322  230.55 -42.60  230.55 9.4609e+0 9.3372e-05 1.4296e-04 1.1670e-04
  66500  65812  229.18 -43.97  229.18 8.7967e+0 8.6817e-05 1.3372e-04 1.0916e-04
  67000  66301  227.81 -45.34  227.81 8.1757e+0 8.0688e-05 1.2503e-04 1.0206e-04
  67500  66791  226.44 -46.71  226.44 7.5953e+0 7.4959e-05 1.1685e-04 9.5389e-05
  68000  67280  225.07 -48.08  225.07 7.0530e+0 6.9607e-05 1.0917e-04 8.9118e-05
  68500  67770  223.69 -49.46  223.69 6.5465e+0 6.4609e-05 1.0195e-04 8.3225e-05
  69000  68259  222.32 -50.83  222.32 6.0737e+0 5.9942e-05 9.5170e-05 7.7690e-05
  69500  68748  220.95 -52.20  220.95 5.6324e+0 5.5588e-05 8.8804e-05 7.2493e-05

  70000  69238  219.58 -53.57  219.58 5.2209e+0 5.1526e-05 8.2829e-05 6.7615e-05
  70500  69727  218.22 -54.93  218.22 4.8372e+0 4.7739e-05 7.7223e-05 6.3039e-05
  71000  70216  216.85 -56.30  216.85 4.4796e+0 4.4210e-05 7.1965e-05 5.8747e-05
  71500  70705  215.48 -57.67  215.48 4.1464e+0 4.0922e-05 6.7036e-05 5.4724e-05
  72000  71194  214.26 -58.89  214.26 3.8362e+0 3.7861e-05 6.2373e-05 5.0917e-05
  72500  71682  213.29 -59.86  213.29 3.5480e+0 3.5016e-05 5.7951e-05 4.7307e-05
  73000  72171  212.31 -60.84  212.31 3.2802e+0 3.2373e-05 5.3824e-05 4.3938e-05
  73500  72660  211.33 -61.82  211.33 3.0316e+0 2.9920e-05 4.9975e-05 4.0796e-05
  74000  73148  210.35 -62.80  210.35 2.8009e+0 2.7642e-05 4.6385e-05 3.7866e-05
  74500  73637  209.38 -63.77  209.38 2.5867e+0 2.5529e-05 4.3039e-05 3.5134e-05

  75000  74125  208.40 -64.75  208.40 2.3881e+0 2.3569e-05 3.9921e-05 3.2589e-05
  75500  74614  207.42 -65.73  207.42 2.2040e+0 2.1752e-05 3.7016e-05 3.0217e-05
  76000  75102  206.45 -66.70  206.45 2.0333e+0 2.0067e-05 3.4311e-05 2.8009e-05
  76500  75590  205.47 -67.68  205.47 1.8751e+0 1.8506e-05 3.1792e-05 2.5953e-05
  77000  76078  204.49 -68.66  204.49 1.7286e+0 1.7060e-05 2.9448e-05 2.4039e-05
  77500  76567  203.52 -69.63  203.52 1.5929e+0 1.5721e-05 2.7267e-05 2.2259e-05
  78000  77055  202.54 -70.61  202.54 1.4674e+0 1.4482e-05 2.5239e-05 2.0603e-05
  78500  77542  201.57 -71.58  201.57 1.3512e+0 1.3335e-05 2.3352e-05 1.9063e-05
  79000  78030  200.59 -72.56  200.59 1.2437e+0 1.2274e-05 2.1600e-05 1.7632e-05
  79500  78518  199.61 -73.54  199.61 1.1443e+0 1.1294e-05 1.9971e-05 1.6303e-05

  80000  79006  198.64 -74.51  198.64 1.0525e+0 1.0387e-05 1.8458e-05 1.5068e-05
  80500  79493  197.66 -75.49  197.66 9.6761e-1 9.5496e-06 1.7053e-05 1.3921e-05
  81000  79981  196.69 -76.46  196.69 8.8923e-1 8.7760e-06 1.5750e-05 1.2857e-05
  81500  80468  195.71 -77.44  195.71 8.1687e-1 8.0619e-06 1.4540e-05 1.1870e-05
  82000  80956  194.73 -78.42  194.74 7.5009e-1 7.4028e-06 1.3418e-05 1.0954e-05
  82500  81443  193.75 -79.40  193.76 6.8848e-1 6.7948e-06 1.2378e-05 1.0105e-05
  83000  81930  192.76 -80.39  192.79 6.3167e-1 6.2341e-06 1.1414e-05 9.3177e-06
