              |Accel. |Pressure|          |Part- |          |  Mean   |
   Altitude   |due to | scale  | Number   | icle |Collision |  free   |Molecular
              |gravity| height | density  |speed |frequency |  path   | weight
-------+------+-------+--------+----------+------+----------+---------+---------
   Z   |   H  |   g   |  H_P   |    n     |  V   |    nu    |    L    |    M
  (m)  |  (m) |(m/s^2)|  (m)   | (1/m^3)  |(m/s) |   (1/s)  |   (m)   |(kg/kmol)
-------+------+-------+--------+----------+------+----------+---------+---------
  31500  31345  9.7102    6740  3.0417e+23  408.2 7.3499e+07 5.5544e-6  28.964
  32000  31840  9.7087    6756  2.8183e+23  408.7 6.8175e+07 5.9946e-6  28.964
  32500  32335  9.7071    6789  2.6052e+23  409.7 6.3170e+07 6.4851e-6  28.964
  33000  32830  9.7056    6831  2.4062e+23  410.9 5.8522e+07 7.0212e-6  28.964
  33500  33324  9.7041    6873  2.2236e+23  412.1 5.4241e+07 7.5980e-6  28.964
  34000  33819  9.7026    6915  2.0558e+23  413.4 5.0297e+07 8.2182e-6  28.964
  34500  34314  9.7011    6957  1.9015e+23  414.6 4.6661e+07 8.8849e-6  28.964

  35000  34808  9.6995    6999  1.7597e+23  415.8 4.3307e+07 9.6010e-6  28.964
  35500  35303  9.6980    7042  1.6292e+23  417.0 4.0213e+07 1.0370e-5  28.964
  36000  35797  9.6965    7084  1.5090e+23  418.2 3.7356e+07 1.1196e-5  28.964
  36500  36292  9.6950    7126  1.3984e+23  419.4 3.4717e+07 1.2081e-5  28.964
  37000  36786  9.6935    7168  1.2965e+23  420.6 3.2278e+07 1.3031e-5  28.964
  37500  37280  9.6920    7210  1.2025e+23  421.8 3.0024e+07 1.4050e-5  28.964
  38000  37774  9.6904    7252  1.1158e+23  423.0 2.7939e+07 1.5141e-5  28.964
  38500  38268  9.6889    7294  1.0358e+23  424.2 2.6009e+07 1.6311e-5  28.964
  39000  38762  9.6874    7336  9.6197e+22  425.4 2.4223e+07 1.7562e-5  28.964
  39500  39256  9.6859    7378  8.9378e+22  426.6 2.2569e+07 1.8902e-5  28.964

  40000  39750  9.6844    7421  8.3077e+22  427.8 2.1036e+07 2.0336e-5  28.964
  40500  40244  9.6829    7463  7.7252e+22  429.0 1.9615e+07 2.1870e-5  28.964
  41000  40737  9.6814    7505  7.1864e+22  430.1 1.8297e+07 2.3509e-5  28.964
  41500  41231  9.6798    7547  6.6880e+22  431.3 1.7074e+07 2.5261e-5  28.964
